Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Cantabria,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,32575.838,9669.908,26724.894,31735.838,24540.616,10535.051,5556.471,4111.963,3272.709,3830.386,8309.712,11254.191
Eólica,6988.003,4720.671,12636.773,6408.696,4419.569,2089.309,1673.752,2515.696,6176.781,10107.081,9985.111,11058.928
Solar fotovoltaica,201.7,303.565,307.766,429.94,524.895,477.738,583.065,496.982,416.198,323.16,231.527,148.986
Otras renovables,5185.987,4116.052,389.389,1001.752,7033.393,6279.587,6996.155,6978.53,6804.124,7020.76,6084.674,7067.748
Residuos renovables,3372.522,3141.8325,3496.768,3371.9535,3432.7245,3310.3545,3427.4885,3362.1455,3319.3115,3222.73,12706.245,3485.348
Generación renovable,48324.049999999996,21952.0285,43555.59000000001,42948.179500000006,39951.197499999995,22692.039500000003,18236.9315,17465.316499999997,19989.123499999998,24504.117000000002,25881.648499999996,33015.201
