Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Comunidad de Madrid,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,4077.551,3623.382,6133.847,10487.369,11478.368,11473.97,12039.887,9481.739,5276.139,2613.965,2654.629,5467.745
Solar fotovoltaica,5110.455,5394.748,4374.643,7797.669,9522.299,9332.311,9872.491,9195.423,7757.759,5500.848,3940.803,2316.796
Otras renovables,15856.78,14385.617,15123.059,14457.377,15230.653,12384.953,12195.342,12352.94,11615.309,12696.356,12183.234,12381.86
Residuos renovables,7723.3295,7098.946,7537.0955,67957.94,5065.088,5859.225,4984.439,2866.37,4822.8295,6526.538,5394.3,6441.1725
Generación renovable,32768.1155,30502.693,33168.6445,39538.209,41296.407999999996,39050.458999999995,39092.159,33896.472,29472.036500000002,27337.707000000002,24172.966,26607.5735
