Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,294.213,250.582,296.446,274.072,298.701,281.383,294.361,292.747,288.925,294.009,277.488,288.568
Hidroeólica,1110.916,1482.045,2126.323,1752.528,1917.174,2449.56,3562.943,3517.675,2075.095,1350.072,1169.409,367.104
Eólica,60125.74,88964.034,109527.701,120739.005,116965.555,160356.527,181499.069,185782.734,123261.338,85078.938,102221.262,37913.118
Solar fotovoltaica,18056.703,18872.745,25064.552,26396.03,32971.664,30752.494,34434.815,32263.37,26538.736,26753.266,23169.462,19006.923
Otras renovables,860.531,720.698,909.844,613.524,721.464,696.106,688.222,715.314,714.812,731.328,764.985,784.532
Generación renovable,80448.103,110290.10399999999,137924.866,149775.159,152874.558,194536.07,220479.41,222571.84,152878.90600000002,114207.613,127602.606,58360.245
