Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Comunidad Valenciana,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,21431.662,20777.776,39463.488,40163.901,43885.17,21601.137,27726.08,29009.174,25571.197,30278.589,22774.09,31217.514
Eólica,197200.754,189937.785,284585.608,215673.15,112767.431,98854.013,77684.076,99551.555,111153.367,74672.33,329776.757,203206.052
Solar fotovoltaica,37797.741,39235.857,28233.79,49490.798,66240.555,66465.648,66275.505,62754.636,49769.239,40783.918,33691.977,25695.276
Solar térmica,2534.563,5287.615,1760.767,7395.138,13924.431,14316.071,14060.068,13043.592,8417.616,3946.198,2165.472,1257.509
Otras renovables,2383.466,2399.243,3116.796,2821.816,2943.302,2892.498,2533.066,2800.46,2670.325,2854.242,2709.357,2538.603
Generación renovable,261348.186,257638.27599999998,357160.44899999996,315544.80299999996,239760.889,204129.367,188278.795,207159.417,197581.74400000004,152535.277,391117.65300000005,263914.95399999997
