Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Principado de Asturias,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,136380.85,63493.732,133513.993,138274.464,99312.45,52806.432,29660.275,27859.56,21699.672,28003.087,84610.576,106367.517
Eólica,130051.493,105473.825,117935.276,85389.218,67377.841,77315.699,89581.055,91369.739,97871.986,165015.418,217228.054,177227.244
Solar fotovoltaica,33.414,39.368,47.651,67.343,67.61,56.678,74.256,58.675,55.37,38.683,27.722,19.486
Otras renovables,24492.571,8987.881,13422.629,23754.631,22484.942,24249.095,24176.825,21310.231,18967.153,24014.15,23840.072,23658.052
Generación renovable,290958.328,177994.80599999998,264919.549,247485.656,189242.843,154427.90399999998,143492.411,140598.20500000002,138594.18099999998,217071.338,325706.424,307272.299
