Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Cataluña,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,249639.308,162486.441,205283.117,317340.727,451514.711,291586.307,201646.528,201302.996,164622.959,153051.995,142838.512,136509.741
Eólica,239893.722,259317.577,226302.151,247485.523,192078.108,188191.519,182630.188,163448.55,193910.912,138131.922,264184.792,159019.753
Solar fotovoltaica,25649.303,25663.87,19813.657,38110.98,46228.133,44476.84,45714.751,46003.561,33740.797,26544.035,20294.407,15763.433
Solar térmica,5620.883,7089.632,5882.539,4551.84,3582.845,9945.088,10638.86,9692.609,5161.065,2563.998,1122.372,1801.13
Otras renovables,13960.149,12800.387,14710.573,13766.723,15533.888,12632.942,12976.322,12003.98,11990.759,14251.732,13531.039,13573.306
Residuos renovables,11316.8495,11036.1315,12279.0475,12081.13,13163.442,11702.8415,13348.626,11329.85,12251.319,7046.403,10311.6265,12189.838
Generación renovable,546080.2145,478394.03849999997,484271.0845,633336.923,722101.1270000001,558535.5375,466955.27499999997,443781.5459999999,421677.8110000001,341590.085,452282.7485,338857.201
