Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Extremadura,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,109300.288,103628.666,151387.803,91933.875,168459.934,65902.062,52701.401,53154.16,30580.023,15099.255,43185.169,356617.799
Eólica,15084.753,8860.044,16023.499,10081.651,8275.741,8093.336,7861.13,7854.325,7204.078,11235.606,10841.32,11164.072
Solar fotovoltaica,395304.612,434958.952,409925.605,688063.698,861246.944,767884.889,801419.755,804408.283,646900.225,504770.501,372954.581,265959.584
Solar térmica,59996.861,79508.611,52796.803,170463.307,241714.85,173467.397,250895.651,270243.19,166299.305,65432.95,37685.494,17158.906
Otras renovables,25477.992,22967.629,25166.681,23159.688,16177.17,16670.051,23669.723,22774.607,21381.091,21721.933,209150.35,18776.523
Generación renovable,605164.506,649923.902,655300.391,983702.2189999999,1295874.639,1032017.735,1136547.66,1158434.5650000002,872364.7220000001,618260.2449999999,485581.599,669676.884
