Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Región de Murcia,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,5307.576,5192.061,6268.848,5123.456,6862.081,8399.321,10963.346,11771.347,10171.566,4262.448,3121.981,3257.225
Eólica,37371.563,30099.347,70690.231,56901.089,24590.961,18800.521,16184.727,22179.331,23326.176,12050.964,62891.492,35524.991
Solar fotovoltaica,121389.317,139871.665,97331.106,182266.975,251554.727,255527.569,255488.316,237734.907,188794.293,153323.516,127436.638,98600.401
Solar térmica,1344.878,1824.616,794.042,3181.284,5908.564,6060.024,5987.657,5222.038,3395.955,1204.168,978.98,530.291
Otras renovables,4013.074,3880.055,4224.553,3838.644,3796.359,3262.061,2920.084,2968.22,3154.238,2897.062,2029.512,2671.476
Generación renovable,169426.408,180867.744,179308.77999999997,251311.44800000003,292712.69200000004,292049.4959999999,291544.12999999995,279875.843,228842.228,173738.15800000002,196458.603,140584.384
