Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Comunidad de Navarra,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,71623.027,35364.821,55969.476,63885.535,33376.538,16833.591,16194.351,13877.983,7454.508,4435.853,15909.143,26394.158
Eólica,279417.874,273580.572,358971.437,344629.889,327900.468,217372.202,284223.541,214338.457,235770.732,270582.441,212212.016,184179.742
Solar fotovoltaica,21095.666,20995.279,15920.903,27606.012,34591.119,33770.587,38198.907,33266.031,27053.308,20118.74,13554.101,10640.463
Otras renovables,28198.735,22064.126,28264.87,23054.104,25182.728,28039.923,27790.628,26737.45,26781.927,25259.197,28132.547,27090.377
Generación renovable,400335.302,352004.79799999995,459126.686,459175.54,421050.853,296016.303,366407.4270000001,288219.92100000003,297060.47500000003,320396.23099999997,269807.80700000003,248304.74
