Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Castilla y León,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,536516.595,225427.37,394115.428,390279.487,374208.697,233498.096,310305.676,275471.95,589748.443,106452.739,248622.065,746471.99
Eólica,1054684.583,854732.853,1522430.542,1252642.012,993180.908,846420.919,1062151.889,896294.431,908417.959,1348176.1,1543356.347,1514005.415
Solar fotovoltaica,109121.764,114021.499,103558.208,180786.618,221171.27,224419.264,273831.829,249407.352,202997.908,145493.05,97934.76,61920.928
Otras renovables,43169.707,42578.119,41042.75,52492.165,44354.404,53027.832,58180.014,49220.397,35925.191,53077.646,45710.02,33189.093
Generación renovable,1743492.649,1236759.841,2061146.928,1876200.2820000001,1632915.279,1357366.1109999998,1704469.4079999998,1470394.13,1737089.5010000002,1653199.5350000001,1935623.192,2355587.426
