Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Galicia,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,559644.783,324753.485,458914.549,302618.744,195005.134,124510.834,70532.363,84986.336,116048.53,215386.247,584506.225,1098015.057
Eólica,819249.439,721912.959,891062.958,682784.537,608061.181,476191.133,725685.6,720668.625,667150.894,1162094.816,1131440.736,1113970.284
Solar fotovoltaica,1415.796,1437.53,1583.936,2283.674,2586.85,2304.774,2939.539,2682.086,2022.578,1410.678,904.423,637.023
Otras renovables,40932.725,36191.866,45412.25,55080.737,56086.954,58420.139,35033.415,32093.226,22834.887,26785.697,36157.916,37261.979
Residuos renovables,13934.6645,15162.464,15855.657,15559.561,14379.5655,12927.4105,13119.609,8845.9765,6406.1435,16344.1715,16206.863,14698.0755
Generación renovable,1435177.4075000002,1099458.304,1412829.3499999999,1058327.253,876119.6845,674354.2904999999,847310.5260000001,849276.2495,814463.0325,1422021.6095,1769216.163,2264582.4184999997
