Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,País Vasco,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,49705.226,23027.975,36459.435,50792.271,22184.215,14746.089,18091.17,19278.124,13360.481,10449.368,14975.922,18046.088
Eólica,30476.276,22008.249,45895.899,25665.851,22726.956,13724.039,19196.779,14167.567,22202.249,34243.946,36591.122,32627.641
Solar fotovoltaica,3568.838,4130.597,4149.437,6214.46,8423.753,7955.933,9158.044,6848.078,5477.596,3921.111,2175.697,1651.385
Otras renovables,3354.978,4366.638,4637.272,3911.483,4895.146,4439.377,3456.888,4663.124,4599.423,4049.319,3279.719,3768.408
Residuos renovables,32627.7635,30467.505,32809.6855,26963.7115,31439.7735,29417.572,24151.9795,24901.859,18815.9715,27045.5685,23776.0405,25555.3825
Generación renovable,119733.08150000001,84000.964,123951.7285,113547.7765,89669.8435,70283.01000000001,74054.8605,69858.752,64455.720499999996,79709.3125,80798.5005,81648.9045
