Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,La Rioja,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,11875.04,7291.198,12458.382,14409.094,13551.292,9182.006,10815.038,11504.979,4646.325,1919.385,2531.71,4245.406
Eólica,97861.89,71520.125,119709.942,91652.363,76401.852,42467.761,52311.036,43876.406,56979.581,65599.149,76063.676,54158.249
Solar fotovoltaica,10301.269,10682.569,8339.997,14280.796,17491.252,16023.509,19219.397,16329.545,13319.713,9965.841,6713.038,4364.514
Otras renovables,717.291,728.514,520.382,763.82,721.958,525.637,382.424,634.947,714.954,842.794,759.183,841.464
Generación renovable,120755.48999999999,90222.406,141028.703,121106.073,108166.354,68198.913,82727.895,72345.87700000001,75660.57299999999,78327.169,86067.60700000002,63609.63300000001
