Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Aragón,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,22806.921,155261.888,178212.848,260406.525,381482.106,231982.171,169921.127,142417.885,102443.714,112200.293,107636.556,128640.683
Eólica,933056.506,1000502.417,1064277.926,1148854.476,941266.162,684507.108,708484.921,709830.971,794163.728,572679.517,1000838.006,643134.759
Solar fotovoltaica,142241.661,147710.83,127234.057,274418.748,362063.79,370581.568,393198.606,345205.941,277564.796,186137.79,132085.449,99238.272
Otras renovables,4388.265,4415.547,5495.125,4276.64,4228.056,3738.831,4199.793,3078.285,3306.435,4210.311,3975.317,3253.287
Generación renovable,1307756.3530000001,1307890.682,1375219.956,1687956.3889999997,1689040.1140000003,1290809.678,1275804.4470000002,1200533.082,1177478.673,875227.9110000001,1244535.3280000002,874267.0009999999
