Título,GENERACIÓN RENOVABLE POR TECNOLOGÍA/COMBUSTIBLE_01-01-2022_31-12-2022,,,,,,,,,,,
Comunidades autónomas,Castilla- La Mancha,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Hidráulica,55035.319,26763.874,49814.405,47282.156,45442.198,56671.724,66788.407,56317.215,41880.416,23892.715,24562.588,61397.282
Eólica,645175.844,509590.254,1037671.393,793368.818,557015.526,491814.051,493131.324,622852.826,535001.101,549742.075,1179004.265,852678.369
Solar fotovoltaica,329088.845,346135.526,269172.052,531224.253,745329.805,701254.39,719517.841,717965.47,626142.578,445141.628,328633.476,220107.942
Solar térmica,24902.494,29835.811,12364.627,55218.601,81133.389,61319.507,64451.973,62187.536,58439.027,23328.75,13155.229,6581.571
Otras renovables,50765.934,44332.096,50378.069,48246.641,44114.525,43013.316,43549.424,42829.003,40252.829,39531.616,31898.879,27590.389
Generación renovable,1104968.436,956657.5610000001,1419400.546,1475340.469,1473035.443,1354072.9880000001,1387438.969,1502152.05,1301715.951,1081636.784,1577254.437,1168355.5529999998
